Date,Open,High,Low,Close
5-Jan-22,17820.1,17944.7,17748.85,17925.25
6-Jan-22,17768.5,17797.95,17655.55,17745.9
7-Jan-22,17797.6,17905,17704.55,17812.7
10-Jan-22,17913.3,18017.45,17879.15,18003.3
11-Jan-22,17997.75,18081.25,17964.4,18055.75
12-Jan-22,18170.4,18227.95,18128.8,18212.35
13-Jan-22,18257,18272.25,18163.8,18257.8
14-Jan-22,18185,18286.95,18119.65,18255.75
17-Jan-22,18235.65,18321.55,18228.75,18308.1
18-Jan-22,18337.2,18350.95,18085.9,18113.05
19-Jan-22,18129.2,18129.2,17884.9,17938.4
20-Jan-22,17921,17943.7,17648.45,17757
21-Jan-22,17613.7,17707.6,17485.85,17617.15
24-Jan-22,17575.15,17599.4,16997.85,17149.1
25-Jan-22,17001.55,17309.15,16836.8,17277.95
27-Jan-22,17062,17182.5,16866.75,17110.15
28-Jan-22,17208.3,17373.5,17077.1,17101.95
31-Jan-22,17301.05,17410,17264.15,17339.85
1-Feb-22,17529.45,17622.4,17244.55,17576.85
2-Feb-22,17706.2,17794.6,17674.8,17780
3-Feb-22,17767.75,17781.15,17511.15,17560.2
4-Feb-22,17590.2,17617.8,17462.55,17516.3
7-Feb-22,17456.3,17536.75,17119.4,17213.6
8-Feb-22,17279.85,17306.45,17043.65,17266.75
9-Feb-22,17370.1,17477.15,17339,17463.8
10-Feb-22,17554.1,17639.45,17427.15,17605.85
11-Feb-22,17451,17454.75,17303,17374.75
14-Feb-22,17076.15,17099.5,16809.65,16842.8
15-Feb-22,16933.25,17375,16839.25,17352.45
16-Feb-22,17408.45,17490.6,17257.7,17322.2
17-Feb-22,17396.55,17442.9,17235.85,17304.6
18-Feb-22,17236.05,17380.8,17219.2,17276.3
21-Feb-22,17192.25,17351.05,17070.7,17206.65
22-Feb-22,16847.95,17148.55,16843.8,17092.2
23-Feb-22,17194.5,17220.7,17027.85,17063.25
24-Feb-22,16548.9,16705.25,16203.25,16247.95
25-Feb-22,16515.65,16748.8,16478.3,16658.4
28-Feb-22,16481.6,16815.9,16356.3,16793.9
2-Mar-22,16593.1,16678.5,16478.65,16605.95
3-Mar-22,16723.2,16768.95,16442.95,16498.05
4-Mar-22,16339.45,16456,16133.8,16245.35
7-Mar-22,15867.95,15944.6,15711.45,15863.15
8-Mar-22,15747.75,16028.75,15671.45,16013.45
9-Mar-22,16078,16418.05,15990,16345.35
10-Mar-22,16757.1,16757.3,16447.9,16594.9
11-Mar-22,16528.8,16694.4,16470.9,16630.45
14-Mar-22,16633.7,16887.95,16606.5,16871.3
15-Mar-22,16900.65,16927.75,16555,16663
16-Mar-22,16876.65,16987.9,16837.85,16975.35
17-Mar-22,17202.9,17344.6,17175.75,17287.05
21-Mar-22,17329.5,17353.35,17096.4,17117.6
22-Mar-22,17120.4,17334.4,17006.3,17315.5
23-Mar-22,17405.05,17442.4,17199.6,17245.65
24-Mar-22,17094.95,17291.75,17091.15,17222.75
25-Mar-22,17289,17294.9,17076.55,17153
28-Mar-22,17181.85,17235.1,17003.9,17222
29-Mar-22,17297.2,17343.65,17235.7,17325.3
30-Mar-22,17468.15,17522.5,17387.2,17498.25
31-Mar-22,17519.2,17559.8,17435.2,17464.75
1-Apr-22,17436.9,17703.7,17422.7,17670.45
4-Apr-22,17809.1,18114.65,17791.4,18053.4
5-Apr-22,18080.6,18095.45,17921.55,17957.4
6-Apr-22,17842.75,17901,17779.85,17807.65
7-Apr-22,17723.3,17787.5,17623.7,17639.55
8-Apr-22,17698.15,17842.75,17600.55,17784.35
11-Apr-22,17740.9,17779.05,17650.95,17674.95
12-Apr-22,17584.85,17595.3,17442.35,17530.3
13-Apr-22,17599.9,17663.65,17457.4,17475.65
18-Apr-22,17183.45,17237.75,17067.85,17173.65
19-Apr-22,17258.95,17275.65,16824.7,16958.65
20-Apr-22,17045.25,17186.9,16978.95,17136.55
21-Apr-22,17234.6,17414.7,17215.5,17392.6
22-Apr-22,17242.75,17315.3,17149.2,17171.95
25-Apr-22,17009.05,17054.3,16888.7,16953.95
26-Apr-22,17121.3,17223.85,17064.45,17200.8
27-Apr-22,17073.35,17110.7,16958.45,17038.4
28-Apr-22,17189.5,17322.5,17071.05,17245.05
29-Apr-22,17329.25,17377.65,17053.25,17102.55
2-May-22,16924.45,17092.25,16917.25,17069.1
4-May-22,17096.6,17132.85,16623.95,16677.6
5-May-22,16854.75,16945.7,16651.85,16682.65
6-May-22,16415.55,16484.2,16340.9,16411.25
9-May-22,16227.7,16403.7,16142.1,16301.85
10-May-22,16248.9,16404.55,16197.3,16240.05
11-May-22,16270.05,16318.75,15992.6,16167.1
12-May-22,16021.1,16041.95,15735.75,15808
13-May-22,15977,16083.6,15740.85,15782.15
16-May-22,15845.1,15977.95,15739.65,15842.3
17-May-22,15912.6,16284.25,15900.8,16259.3
18-May-22,16318.15,16399.8,16211.2,16240.3
19-May-22,15917.4,15984.75,15775.2,15809.4
20-May-22,16043.8,16283.05,16003.85,16266.15
23-May-22,16290.95,16414.7,16185.75,16214.7
24-May-22,16225.55,16262.8,16078.6,16125.15
25-May-22,16196.35,16223.35,16006.95,16025.8
26-May-22,16105,16204.45,15903.7,16170.15
27-May-22,16296.6,16370.6,16221.95,16352.45
30-May-22,16527.9,16695.5,16506.15,16661.4
31-May-22,16578.45,16690.75,16521.9,16584.55
1-Jun-22,16594.4,16649.2,16438.85,16522.75
2-Jun-22,16481.65,16646.4,16443.05,16628
3-Jun-22,16761.65,16793.85,16567.9,16584.3
6-Jun-22,16530.7,16610.95,16444.55,16569.55
7-Jun-22,16469.6,16487.25,16347.1,16416.35
8-Jun-22,16474.95,16514.3,16293.35,16356.25
9-Jun-22,16263.85,16492.8,16243.85,16478.1
10-Jun-22,16283.95,16324.7,16172.6,16201.8
13-Jun-22,15877.55,15886.15,15684,15774.4
14-Jun-22,15674.25,15858,15659.45,15732.1
15-Jun-22,15729.25,15783.65,15678.9,15692.15
16-Jun-22,15832.25,15863.15,15335.1,15360.6
17-Jun-22,15272.65,15400.4,15183.4,15293.5
20-Jun-22,15334.5,15382.5,15191.1,15350.15
21-Jun-22,15455.95,15707.25,15419.85,15638.8
22-Jun-22,15545.65,15565.4,15385.95,15413.3
23-Jun-22,15451.55,15628.45,15367.5,15556.65
24-Jun-22,15657.4,15749.25,15619.45,15699.25
27-Jun-22,15926.2,15927.45,15815.5,15832.05
28-Jun-22,15757.45,15892.1,15710.15,15850.2
29-Jun-22,15701.7,15861.6,15687.8,15799.1
30-Jun-22,15774.5,15890,15728.85,15780.25
1-Jul-22,15703.7,15793.95,15511.05,15752.05
4-Jul-22,15710.5,15852.35,15661.8,15835.35
5-Jul-22,15909.15,16025.75,15785.45,15810.85
6-Jul-22,15818.2,16011.35,15800.9,15989.8
7-Jul-22,16113.75,16150.5,16045.95,16132.9
8-Jul-22,16273.65,16275.5,16157.9,16220.6
11-Jul-22,16136.15,16248.55,16115.5,16216
12-Jul-22,16126.2,16158.75,16031.15,16058.3
13-Jul-22,16128.2,16140,15950.15,15966.65
14-Jul-22,16018.85,16070.85,15858.2,15938.65
15-Jul-22,16010.8,16066.95,15927.3,16049.2
18-Jul-22,16151.4,16287.95,16142.2,16278.5
19-Jul-22,16187.05,16359.5,16187.05,16340.55
20-Jul-22,16562.8,16588,16490.95,16520.85
21-Jul-22,16523.55,16626.95,16483.9,16605.25
22-Jul-22,16661.25,16752.25,16610.9,16719.45
25-Jul-22,16662.55,16706.05,16564.25,16631
26-Jul-22,16632.9,16636.1,16463.3,16483.85
27-Jul-22,16475.35,16653.45,16438.75,16641.8
28-Jul-22,16774.85,16947.65,16746.25,16929.6
